,original_name,country_code,mapped_name,mapped_bvdId,mapping_score,company_name,BvD ID number ,Country ISO code,"NACE Rev. 2, core code (4 digits)","NAICS 2017, core code (4 digits)",Major sectors,Status,Date of incorporation,Operating revenue (Turnover) <th USD 2018>,Operating revenue (Turnover) <th USD 2017>,Operating revenue (Turnover) <th USD 2016>,Operating revenue (Turnover) <th USD 2015>,Operating revenue (Turnover) <th USD 2014>,Operating revenue (Turnover) <th USD 2013>,Operating revenue (Turnover) <th USD 2012>,Operating revenue (Turnover) <th USD 2011>,Operating revenue (Turnover) <th USD 2010>,Operating revenue (Turnover) <th USD 2009>,P/L for period [=Net income] <th USD 2018>,P/L for period [=Net income] <th USD 2017>,P/L for period [=Net income] <th USD 2016>,P/L for period [=Net income] <th USD 2015>,P/L for period [=Net income] <th USD 2014>,P/L for period [=Net income] <th USD 2013>,P/L for period [=Net income] <th USD 2012>,P/L for period [=Net income] <th USD 2011>,P/L for period [=Net income] <th USD 2010>,P/L for period [=Net income] <th USD 2009>,Total assets <th USD 2018>,Total assets <th USD 2017>,Total assets <th USD 2016>,Total assets <th USD 2015>,Total assets <th USD 2014>,Total assets <th USD 2013>,Total assets <th USD 2012>,Total assets <th USD 2011>,Total assets <th USD 2010>,Total assets <th USD 2009>,Shareholders funds <th USD 2018>,Shareholders funds <th USD 2017>,Shareholders funds <th USD 2016>,Shareholders funds <th USD 2015>,Shareholders funds <th USD 2014>,Shareholders funds <th USD 2013>,Shareholders funds <th USD 2012>,Shareholders funds <th USD 2011>,Shareholders funds <th USD 2010>,Shareholders funds <th USD 2009>,Number of employees <2018>,Number of employees <2017>,Number of employees <2016>,Number of employees <2015>,Number of employees <2014>,Number of employees <2013>,Number of employees <2012>,Number of employees <2011>,Number of employees <2010>,Number of employees <2009>,EBITDA <th USD 2018>,EBITDA <th USD 2017>,EBITDA <th USD 2016>,EBITDA <th USD 2015>,EBITDA <th USD 2014>,EBITDA <th USD 2013>,EBITDA <th USD 2012>,EBITDA <th USD 2011>,EBITDA <th USD 2010>,EBITDA <th USD 2009>
15,Ziwutong (Beijing) Asset Management (Danke Apartment),CN,"BEIJING GUOTONG ASSET MANAGEMENT CO., LTD.",CN9360977734,scoreC,"BEIJING GUOTONG ASSET MANAGEMENT CO., LTD.",CN9360977734,CN,6619,5239,Other services,Active,02/02/2005,n.a.,n.a.,"86,303","37,137","9,674","8,503",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"9,227","7,868","4,233","8,009",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"255,654","184,564","176,783","124,487",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"167,101","170,386","171,982","105,020",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,Trax,SG,TRAX - UXL PTE LTD,SG199704137D,scoreB,TRAX - UXL PTE LTD,SG199704137D,SG,4618,4251,Wholesale & retail trade,Active,18/06/1997,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,Tianjin Galaxy Cool Media (Yinhekuyu Media),CN,"TIANJIN GALAXY VALVE CO., LTD.",CN9360492141,scoreE,"TIANJIN GALAXY VALVE CO., LTD.",CN9360492141,CN,2814,3329,"Machinery, equipment, furniture, recycling",Active,14/11/2003,n.a.,n.a.,n.a.,n.a.,"23,955","21,915","22,107","18,423",n.a.,"12,262",n.a.,n.a.,n.a.,n.a.,n.a.,"1,181","1,569","1,528",n.a.,775,n.a.,n.a.,n.a.,n.a.,"17,884","16,574","13,161","14,970",n.a.,"8,384",n.a.,n.a.,n.a.,n.a.,n.a.,"12,346","10,809","9,713",n.a.,"5,332",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,153,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
18,Hector Beverages,IN,HECTOR BEVERAGES PRIVATE LIMITED,IN0007962319,scoreA,HECTOR BEVERAGES PRIVATE LIMITED,IN0007962319,IN,1102,3121,"Food, beverages, tobacco",Active,13/10/2009,n.a.,n.a.,n.a.,n.a.,"4,961","2,655","2,255",788,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"-3,625","-1,907","-3,348","-1,102",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"7,592","5,034","6,261","1,924",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"3,892","4,308","5,449","1,750",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"-3,325","-2,036",n.a.,n.a.,n.a.,n.a.
19,Intellibrand,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,av.by,BY,AV-TRAST CHUP,BY190745268,scoreE,AV-TRAST CHUP,BY190745268,BY, , , ,Active,2001,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9,9,10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Aureso,SG,AURESO PTE. LTD.,SG201217019N,scoreA,AURESO PTE. LTD.,SG201217019N,SG,5819,5111,"Publishing, printing",Active,10/07/2012,n.a.,n.a.,43,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,448,580,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-192,564,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22,WorkCapital,BR,WORKCAPITAL BS D (Alias: WORKCAPITAL),BR27301136000198,scoreA,WORKCAPITAL BS D,BR27301136000198,BR,6420,5511,Other services,Active,14/03/2017,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23,Neumarket,CO,TEU MARKET S A S,CO9008233746,scoreE,TEU MARKET S A S,CO9008233746,CO,4791,4251,Wholesale & retail trade,Active,10/02/2015,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24,Bestdealfinance (Rubique),IN,BESTDEAL FINADVISORS LLP,IN0017146864,scoreD,BESTDEAL FINADVISORS LLP,IN0017146864,IN, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
25,Zai Laboratory,CN,"ZAI LABORATORY PHARMACEUTICAL (SHANGHAI) CO., LTD.",CN9367161172,scoreB,"ZAI LABORATORY PHARMACEUTICAL (SHANGHAI) CO., LTD.",CN9367161172,CN,7219,5417,Other services,Active,06/01/2014,n.a.,n.a.,n.a.,986,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"-1,942","-1,106",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,793","1,059",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,291",894,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26,Diverze Assets,JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fazenda Alvorada,BR,FAZENDA ALVORADA AGRO PECUARIA LTDA (Alias: FAZENDA ALVORADA),BR15225366000136,scoreA,FAZENDA ALVORADA AGRO PECUARIA LTDA,BR15225366000136,BR,0142,1121,Primary sector,Active,19/03/2012,n.a.,n.a.,"1,841",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,36,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
28,KarmaPulse,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Formcept Technologies and Solutions,IN,FORMCEPT TECHNOLOGIES & SOLUTIONS PRIVATE LIMITED,IN0002916041,scoreA,FORMCEPT TECHNOLOGIES & SOLUTIONS PRIVATE LIMITED,IN0002916041,IN,6209,5415,Other services,Active,10/10/2011,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30,Dook Book,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Bliss Inns (V Resorts),IN,V.INNS AND RESORTS PRIVATE LIMITED,IN0010489329,scoreB,V.INNS AND RESORTS PRIVATE LIMITED,IN0010489329,IN,5530,7212,Hotels & restaurants,Active,03/01/2001,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32,Dafengshou,CN,"DA FENG SHOES CO.,LTD",CN9379520582,scoreB,"DA FENG SHOES CO.,LTD",CN9379520582,CN, , , ,Status unknown, ,n.a.,n.a.,n.a.,"10,273","12,579","7,193",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,40,n.a.,32,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,315",0,"2,669",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,132,n.a.,64,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
33,Clobotics,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
